year,fips60_06,fips,wtem,wpre,wtem50,wpre50,country,country_code,ki,rgdpl,gdpLCU,gdpSHAREAG,gdpWDIGDPAGR,gdpWDIGDPIND,lnrgdpl_t0,_MENA,_SSAF,_LAC,_WEOFF,_EECA,_SEAS,parent
1986,AE,AE,25.925922,.78256786,26.917786,14.031917,United Arab Emirates,ARE,23.55652055482192,20155.89813186916,67771.8845,1.881904602,1940000000,50300000000,9.1856318,1,0,0,0,0,0,AE
2006,AE,AE,27.815685,1.1994822,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.1856318,1,0,0,0,0,0,AE
2003,AE,AE,27.971607,.59837854,26.917786,14.031917,United Arab Emirates,ARE,16.41358563118155,35675.61709598364,62069.66295,2.854879141,8630000000,118000000000,9.1856318,1,0,0,0,0,0,AE
1955,AE,AE,26.776577,2.0793393,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.1856318,1,0,0,0,0,0,AE
1958,AE,AE,27.213095,1.5743643,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.1856318,1,0,0,0,0,0,AE
1981,AE,AE,27.172352,2.3807395,26.917786,14.031917,United Arab Emirates,ARE,20.64653005590186,43738.73355066306,130109.1955,.835120142,1120000000,92300000000,9.1856318,1,0,0,0,0,0,AE
2004,AE,AE,27.976458,.57313931,26.917786,14.031917,United Arab Emirates,ARE,,,63692.91378,2.629277229,9470000000,127000000000,9.1856318,1,0,0,0,0,0,AE
2001,AE,AE,27.730743,.38732499,26.917786,14.031917,United Arab Emirates,ARE,19.53582924011663,32848.62934697564,62634.59934,3.485737562,8540000000,107000000000,9.1856318,1,0,0,0,0,0,AE
1971,AE,AE,25.894583,1.3773322,26.917786,14.031917,United Arab Emirates,ARE,18.80464583531461,10802.2601781038,,,,,9.1856318,1,0,0,0,0,0,AE
1966,AE,AE,26.276815,1.3288143,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.1856318,1,0,0,0,0,0,AE
1964,AE,AE,25.564257,1.3779036,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.1856318,1,0,0,0,0,0,AE
1969,AE,AE,26.322529,1.590782,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.1856318,1,0,0,0,0,0,AE
1975,AE,AE,26.111755,1.5602429,26.917786,14.031917,United Arab Emirates,ARE,23.40460041583005,43245.20295266568,128926.7666,.830074131,402000000,45300000000,9.1856318,1,0,0,0,0,0,AE
1980,AE,AE,27.591845,1.3589357,26.917786,14.031917,United Arab Emirates,ARE,21.8854502450027,46959.83476685426,130031.5139,.741903722,906000000,93900000000,9.1856318,1,0,0,0,0,0,AE
1957,AE,AE,26.809404,2.0586679,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.1856318,1,0,0,0,0,0,AE
1999,AE,AE,27.894911,.35912856,26.917786,14.031917,United Arab Emirates,ARE,20.5647341881912,29112.68775499294,63547.64251,3.741879225,7350000000,91700000000,9.1856318,1,0,0,0,0,0,AE
1965,AE,AE,25.924524,1.1703358,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.1856318,1,0,0,0,0,0,AE
1954,AE,AE,27.312172,2.206625,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.1856318,1,0,0,0,0,0,AE
1950,AE,AE,26.047352,1.2781143,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.1856318,1,0,0,0,0,0,AE
1998,AE,AE,28.051577,.83182144,26.917786,14.031917,United Arab Emirates,ARE,20.5686616201033,28586.2813154904,65469.30197,3.566193104,6230000000,91200000000,9.1856318,1,0,0,0,0,0,AE
1984,AE,AE,25.826963,.66645002,26.917786,14.031917,United Arab Emirates,ARE,22.70053667016127,30134.23097873731,99882.68497,1.29085958,1530000000,77000000000,9.1856318,1,0,0,0,0,0,AE
1994,AE,AE,27.098392,1.9297607,26.917786,14.031917,United Arab Emirates,ARE,22.05527234519523,24013.00659750564,65663.96073999999,2.930046797,4190000000,78200000000,9.1856318,1,0,0,0,0,0,AE
1988,AE,AE,26.761221,1.2626321,26.917786,14.031917,United Arab Emirates,ARE,19.19872764321924,19860.55413596863,62841.10059,1.873852372,1960000000,52400000000,9.1856318,1,0,0,0,0,0,AE
1985,AE,AE,25.842203,.53449285,26.917786,14.031917,United Arab Emirates,ARE,19.78092321736741,27085.90255519926,85805.75847,1.412401676,1670000000,72200000000,9.1856318,1,0,0,0,0,0,AE
1987,AE,AE,26.229404,.84538931,26.917786,14.031917,United Arab Emirates,ARE,18.65337793206749,20895.89773871355,68076.63957,1.785513639,1890000000,56200000000,9.1856318,1,0,0,0,0,0,AE
